name,prefix,suffix,long,lat,level,id,huyen_id
Xã Vũ Xá,Xã,Vũ Xá,106.346042,21.222591,3,1704979,1043
Xã Cẩm Vĩnh,Xã,Cẩm Vĩnh,105.927946,18.300841,3,1704997,1061
Xã Văn Lang,Xã,Văn Lang,105.013167,21.532847,3,1705014,1078
Xã Trường Thủy,Xã,Trường Thủy,106.760784,17.145121,3,1705016,1080
Xã Đông Xá,Xã,Đông Xá,106.390993,20.558855,3,1705024,1088
Xã Tân Thái,Xã,Tân Thái,105.685203,21.596108,3,1705025,1089
Xã Tân Mộc,Xã,Tân Mộc,106.597573,21.293926,3,1705235,1299
Xã Vũ Lâm,Xã,Vũ Lâm,105.478907,20.436485,3,1705256,1320
Xã Yên Lộc,Xã,Yên Lộc,106.066179,20.087113,3,1705268,1332
Xã Quỳnh Hội,Xã,Quỳnh Hội,106.356539,20.655134,3,1705280,1344
Xã Thiện Kế,Xã,Thiện Kế,105.466378,21.569275,3,1705286,1350
Thị trấn Tây Yên Tử,Thị trấn,Tây Yên Tử,106.76447,21.214998,3,1705491,1555
Xã Yên Vượng,Xã,Yên Vượng,106.368151,21.575596,3,1705519,1583
Xã Xích Thổ,Xã,Xích Thổ,105.782229,20.429441,3,1705524,1588
Xã Vân Du,Xã,Vân Du,105.187164,21.65494,3,1705526,1590
Xã Tường Thượng,Xã,Tường Thượng,104.61996,21.176543,3,1705534,1598
Xã Thụy Chính,Xã,Thụy Chính,106.468273,20.579716,3,1705536,1600
Xã Văn Lộc,Xã,Văn Lộc,105.856136,19.903635,3,1705538,1602
Xã Trung Minh,Xã,Trung Minh,105.515917,21.966554,3,1705542,1606
Xã Sơn Tây,Xã,Sơn Tây,105.330382,18.471403,3,1705765,1829
Xã Xuân Lễ,Xã,Xuân Lễ,106.850877,21.809613,3,1705775,1839
Xã Diễn Phúc,Xã,Diễn Phúc,105.589903,18.972367,3,1705779,1843
Xã Phương Công,Xã,Phương Công,106.489026,20.38358,3,1705792,1856
Xã Vĩnh Thịnh,Xã,Vĩnh Thịnh,105.486952,21.168787,3,1705800,1864
Xã Suối Quyền,Xã,Suối Quyền,104.5373,21.652576,3,1705801,1865
Xã Vũ Hội,Xã,Vũ Hội,106.349174,20.413133,3,1706048,2112
Xã Hoằng Quý,Xã,Hoằng Quý,105.806285,19.896999,3,1706050,2114
Xã Yên Phú,Xã,Yên Phú,104.667068,21.855656,3,1706057,2121
Xã Văn Hội,Xã,Văn Hội,106.270657,20.722892,3,1706278,2342
Xã Yên Thành,Xã,Yên Thành,105.015408,21.876268,3,1706313,2377
Xã Trường Sơn,Xã,Trường Sơn,105.582238,18.550521,3,1706533,2597
Xã An Phượng,Xã,An Phượng,106.414181,20.861629,3,1706534,2598
Xã Yên Thắng,Xã,Yên Thắng,106.075958,20.288431,3,1706546,2610
Xã Yển Khê,Xã,Yển Khê,105.100512,21.492514,3,1706550,2614
Xã Púng Tra,Xã,Púng Tra,103.688836,21.398672,3,1706558,2622
Xã Thạch Trị,Xã,Thạch Trị,105.97071,18.351457,3,1706789,2853
Xã Nghi Vạn,Xã,Nghi Vạn,105.640011,18.749463,3,1706803,2867
Xã Nga Vịnh,Xã,Nga Vịnh,105.91586,20.041149,3,1706818,2882
Xã Ngũ Lão,Xã,Ngũ Lão,106.727264,20.941404,3,1707277,3341
Xã Thuận Sơn,Xã,Thuận Sơn,105.302963,18.842097,3,1707315,3379
Xã Tiên Phong,Xã,Tiên Phong,105.43152,21.179827,3,1707531,3595
Xã Thủy Xuân Tiên,Xã,Thủy Xuân Tiên,105.602748,20.904607,3,1707787,3851
Xã Vĩnh An,Xã,Vĩnh An,106.503019,20.722402,3,1707789,3853
Xã Tượng Lĩnh,Xã,Tượng Lĩnh,105.716157,19.577393,3,1707842,3906
Xã Quỳnh Thọ,Xã,Quỳnh Thọ,105.660367,19.096235,3,1708339,4403
Xã Thanh Mỹ,Xã,Thanh Mỹ,105.216509,18.820359,3,1708851,4915
Xã Quảng Trung,Xã,Quảng Trung,105.788597,19.606585,3,1708866,4930
Xã Thành Vân,Xã,Thành Vân,105.730294,20.150118,3,1709122,5186
Xã Phúc Thành,Xã,Phúc Thành,105.471692,19.030866,3,1709363,5427
Xã Thiệu Vận,Xã,Thiệu Vận,105.663992,19.864475,3,1709378,5442
Xã Trường Thịnh,Xã,Trường Thịnh,105.758327,20.763244,3,1709579,5643
Xã Xuân Lai,Xã,Xuân Lai,105.541637,19.953944,3,1709634,5698
Xã Văn Hoàng,Xã,Văn Hoàng,105.850347,20.768838,3,1709835,5899
Xã Tân Trường,Xã,Tân Trường,105.694604,19.366823,3,1710146,6210
Xã Thọ Sơn,Xã,Thọ Sơn,105.488282,19.852414,3,1710402,6466
Xã Xuân Thu,Xã,Xuân Thu,105.88869,21.19679,3,1710603,6667
Xã Yên Thịnh,Xã,Yên Thịnh,105.576498,19.970878,3,1710914,6978
Xã Vạn Điểm,Xã,Vạn Điểm,105.908765,20.777679,3,1711627,7691
Xã Long Hưng,Xã,Long Hưng,106.853797,10.867046,3,1769760,288
Xã Vĩnh Trung,Xã,Vĩnh Trung,109.128728,12.257234,3,1769770,298
Xã Thịnh Đức,Xã,Thịnh Đức,105.807714,21.530298,3,1769793,321
Xã Hoằng Long,Xã,Hoằng Long,105.801125,19.83164,3,1769794,322
Phường Xuân Phú,Phường,Xuân Phú,107.601556,16.462575,3,1769795,323
Xã Tân Lễ,Xã,Tân Lễ,106.139005,20.648581,3,1770048,576
Xã Vĩnh Đồng,Xã,Vĩnh Đồng,105.493365,20.702086,3,1770280,808
Xã Ninh Vân,Xã,Ninh Vân,109.31787,12.387812,3,1770282,810
Xã Hải Sơn,Xã,Hải Sơn,106.263373,20.159589,3,1770290,818
Xã Văn Bán,Xã,Văn Bán,105.054396,21.433527,3,1770294,822
Xã Thượng Trạch,Xã,Thượng Trạch,106.22099,17.370534,3,1770296,824
Xã Vũ An,Xã,Vũ An,106.39145,20.420612,3,1770304,832
Xã Yên Sơn,Xã,Yên Sơn,106.336804,21.261592,3,1770515,1043
Xã Vĩnh Chân,Xã,Vĩnh Chân,105.058418,21.504639,3,1770550,1078
Xã Văn Thủy,Xã,Văn Thủy,106.813484,17.118936,3,1770552,1080
Xã Đông Xuân,Xã,Đông Xuân,106.363007,20.511616,3,1770560,1088
Xã Tiên Hội,Xã,Tiên Hội,105.627466,21.64212,3,1770561,1089
Xã Tân Quang,Xã,Tân Quang,106.648248,21.372589,3,1770771,1299
Xã Xuất Hóa,Xã,Xuất Hóa,105.416203,20.481775,3,1770792,1320
Xã Yên Mật,Xã,Yên Mật,106.071175,20.128969,3,1770804,1332
Xã Quỳnh Hồng,Xã,Quỳnh Hồng,106.328827,20.668381,3,1770816,1344
Xã Thượng Ấm,Xã,Thượng Ấm,105.320167,21.742599,3,1770822,1350
Xã Vĩnh An,Xã,Vĩnh An,106.867621,21.344234,3,1771027,1555
Xã Yên Quang,Xã,Yên Quang,105.716409,20.30674,3,1771060,1588
Xã Vụ Quang,Xã,Vụ Quang,105.270186,21.560408,3,1771062,1590
Xã Tường Tiến,Xã,Tường Tiến,104.673005,21.165289,3,1771070,1598
Xã Thụy Dân,Xã,Thụy Dân,106.480335,20.564584,3,1771072,1600
Xã Xuân Lộc,Xã,Xuân Lộc,105.903817,19.907817,3,1771074,1602
Xã Trung Môn,Xã,Trung Môn,105.171848,21.831916,3,1771078,1606
Xã Xuân Mãn,Xã,Xuân Mãn,106.892572,21.791099,3,1771311,1839
Xã Diễn Quảng,Xã,Diễn Quảng,105.568425,18.984856,3,1771315,1843
Xã Tây An,Xã,Tây An,106.496106,20.411035,3,1771328,1856
Xã Vũ Di,Xã,Vũ Di,105.519567,21.228882,3,1771336,1864
Xã Tân Thịnh,Xã,Tân Thịnh,104.768344,21.493858,3,1771337,1865
Xã Vũ Tiến,Xã,Vũ Tiến,106.306949,20.361482,3,1771584,2112
Xã Hoằng Quỳ,Xã,Hoằng Quỳ,105.80374,19.879562,3,1771586,2114
Xã Yên Thái,Xã,Yên Thái,104.741999,21.86703,3,1771593,2121
Xã Vạn Phúc,Xã,Vạn Phúc,106.324482,20.773376,3,1771814,2342
